Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
Survived a Credit Card fraud today. Sharing my experience for an educational purpose.,p7cc6r,2021-08-19,1093,"I personally believe that the scammers get the data in bulk through lower tier data entry operators in banks. These people are paid 10k as monthly salary and then given personal details of lakhs of customers. Having worked in a bank, data security is not of paramount importance within its walls tbh. So these people sell the data t maybe 5 paise per person's data or maybe even 10 paise. Selling 10,000 persons' data would fetch anywhere from 500-1000 bucks and its free money. With almost no risk. And even if they get caught they are just fired since banks don't want the data leak to be public information. When I took a SBI CC i got a call almost one week later wherein a lady said that I had pending sign up offers and that my CVV needs to be shared. She had my details down to a lick including current card limit. I refused. Thereafter i blocked international transactions. Immediately after that there was a similar call asking me to share OTP for some credit limit increase. Its like they were aware that my international transactions were blocked. IDK how.",k913bhr,[deleted],2,2023-11-13,SBIN.NS,1,0,True,5,Negative,Neutral,bearish,-1,0
Survived a Credit Card fraud today. Sharing my experience for an educational purpose.,p7cc6r,2021-08-19,1093,"I think not sharing the OTP saved you a lot of money and mental harassment. Victims get communication from fraudsters impersonating NBFC employees and offer loans or credit enhancement limits with just a phone call. Once you call the number, the fraudsters either ask you to fill privy financial details or share OTP or PIN details, resulting in loss of money. These days, credit card frauds are becoming so rampant and especially post COVID, people are playing on the vulnerabilities of the ones that have been affected financially. Increasing credit limits and offering free credit cards with no processing fee are ways to lure people into giving away money. My knowledge on fraud awareness by **Bajaj Finserv** and SBI also tells me that scam types include blocking the card if you don’t perform an action, threatening to suspend accounts, counterfeit and skimming frauds, honestly, the list is endless. I had received an email asking me to click on a link to update my KYC details or my no-cost EMI card from them would be blocked. Fortunately, I remember having updated all my information with my bank and no further checks were pending. I contacted my bank rather than responding to the email and was told everything was ok and no action was pending from my end. In fact your experience reminded me of an article that I happened to go through [ I often follow these tips since I have heard of so many near and dear ones become victims of fraud.",hh7snbw,shifalisharma1,1,2021-10-19,SBIN.NS,1,0,True,3,Negative,Positive,neutral,-1,1
Survived a Credit Card fraud today. Sharing my experience for an educational purpose.,p7cc6r,2021-08-19,1093,"I am glad to hear that you did not become a victim of fraud. It is good that you were aware and became suspicious that the call was a fraud. But everyone is not that lucky. Many people have fallen prey to the tactics of these fraudsters and have lost their precious money. So never share your OTP with anyone. Even if someone from your bank calls you and asks for your OTP, be wary. You never know that it is a genuine person or fraudster, as we have seen in this post. Even banks and NBFCs like HDFC, SBI, PNB, **Bajaj Finance**, and others keep reminding their customers not to share their OTP. This article will provide information about OTP theft and how to protect yourself:",huk8nao,Little-combinations,1,2022-01-28,SBIN.NS,1,0,True,2,Negative,Positive,neutral,-1,1
A beginner's guide to investing in the bond market (and debt mutual funds).,krjbnl,2021-01-06,922,"One important point around investing in bonds - especially important in today's low interest rate situation is the call option on bonds. This is a big risk factor to consider when you want to buy a bond. For example, the SBI 9.99% bonds which are very popular have a call option in the third week of March; should they call them back, your actual YTM will be much lower than what you would have thought [ is a great site to look at bond details in a single place. The Corporate announcements section on the BSE website on the ISIN page also aggregates announcements about record dates, interest payments etc",giefne8,offensive-owl,2,2021-01-07,SBIN.NS,1,0,True,2,Positive,Positive,bullish,1,1
"PSA: Don't clutter your mind with chasing stupid cashback program, credit card offers, or privileged banking",n6xif1,2021-05-07,746,"It’s not always a bad thing. Ex: My two cards, SBI and ICICI Amazon give me points/cashback. I use SBI to pay bills in restaurants, swiggy or any other monthly bills I’ve got to pay for my house. That helps me earn points. I convert them to Amazon Gift Cards and use them to buy smaller stuff. I just got myself a mouse and HDMI plug from these points. All I did was pay bills I already had to pay. Just used the card. Same with ICICI. To shop on Amazon I use that card. Get cashback on it. I would say it’s more of a choice on how sensible you are when you use your card. All cards now have a built in function to limit expenses after a certain amount. If you don’t trust yourself with it, don’t get your CC limit extended by the bank.",gx9o7gy,OwlAmongDonkeys,95,2021-05-07,SBIN.NS,2,0,True,3,Positive,Neutral,bullish,1,0
"PSA: Don't clutter your mind with chasing stupid cashback program, credit card offers, or privileged banking",n6xif1,2021-05-07,746,"Now that is kind of generalizing. Consider this, everyone has certain number of expenses to pay for, now its up to you if you want to pay with net banking or with credit card and get 1-2% of it back? Credit cards charge a fee to merchants which they can give back to customers, which you can take advantage of. If you can be disciplined enough to pay your credit cards in time, there are lot of benefits. \- Credit Card based offers in Amazon and Flipkart festival sales \- Lounge Access in Airports (Free food) \- Cashback reward points \- Free Movie Tickets I had paid my Honeymoon flight tickets to Vietnam through HDFC Regalia Points. I still have about 60k points in it, which converts to 30k worth flight ticket. Have seen about 10+ movies for free and used about 15k worth Central Voucher through SBI Card. My expenses are mostly related to softwares which are unavoidable. I am huge fan of Credit Cards (when used correctly), have researched quite a bit for an article. [",gxcx0tk,vishwesh_shetty,9,2021-05-08,SBIN.NS,1,0,True,2,Positive,Positive,bullish,1,1
"PSA: Don't clutter your mind with chasing stupid cashback program, credit card offers, or privileged banking",n6xif1,2021-05-07,746,"I have a HDFC imperia account. Got invite for Infinia. I still can’t decide if i have time & energy of keep track of reward points, its value conversion & redemption headache. I do want want to keep strategising about where to use how to redeem etc. I would rather choose to focus on evaluating better investments (stocks & real state) So, i got rid of most of the “reward” cards (i did hold 16 cards) Keeping only “lifetime free” for each bank to be used during sale (usual 10% offer) SBI Cashback Card on the way (offers 5% cashback on all online spends with no restrictions with respect to merchants). So this would cover regular online spends. Flipkart Axis bank (1.5% for all offline spends) will cover all offline spends.",iqaq17h,4poorv,1,2022-09-29,SBIN.NS,1,0,True,5,Positive,Positive,bullish,1,1
Ask Me Anything about investing in Mutual Funds,14qcq7h,2023-07-04,701,I've been investing on SBI Small Cap and Canara Robeco Emerging Equities and have been getting decent returns. Do we keep investing in same funds forever or do we need to exit some MF after a few years and look for any new ones?,jqml4wq,pr1m347,1,2023-07-04,SBIN.NS,1,0,True,2,Neutral,Neutral,neutral,0,0
How to see if a bank is risky for placing your deposits? [A guide from a banker],jwesme,2020-11-18,700,"I am an IDFC First Bank customer and checked the parameters mentioned by OP. I did the research so you don't have to! 1. Capital Adequacy is at 14.73 (Greater than 12 is good) 2. Gross NPA at 1.62 (Less than 5 is good) Net NPA is at 0.43 3. Share price has grown from 25.70 on June 30 to 29.95 on September 30 (16.5% increase) 4. Bank is not in the list of RBI PCA All the params are in green, so it's a safe bank for at least the next quarter. All the above mentioned things take approximately 15 minutes every 3 months to assess. It's good to check it every 3 months as things can't tank to the basement. If you feel uncomfortable, shifting to SBI would be a better option!",gcpw9ap,sansays,177,2020-11-18,SBIN.NS,1,0,True,2,Positive,Positive,bullish,1,1
How to see if a bank is risky for placing your deposits? [A guide from a banker],jwesme,2020-11-18,700,"Most Banks are still very far enough from any moratorium type position. It is unlikely that any big SFB or Bank will fail. So if you have money either in Bandhan, Ujjivan, AU or anybank which has to report numbers every quarterly it is unlikely that will fail, LVB was in trouble for a very long time, it has been no surprise that it was acquired by DBS. I also own a bank account which is in a smaller type of Bank(RBL) but for safety I have an alternate account in Kotak Mahindra. As long as you don't have a major amount of money in a corporate bank whose numbers you cannot find and the amount is north worth of 5 lakhs, I wouldn't worry about anything. In terms of safety, these banks are too big to fail as per RBI are SBI, HDFC and ICICI. A very important point to note is there has been no loss of depositors money in any of the bank failures and even in the unlikely event of a very big bank bank failing, it is unlikely the RBI or/and government will let it fail. A simple rule of thumb I use is keep atleast one bank account in one of the following banks - SBI, HDFC, ICICI and Kotak (in the order)",gcpw90h,GodofObertan,7,2020-11-18,SBIN.NS,2,0,True,4,Negative,Neutral,bearish,-1,0
How to see if a bank is risky for placing your deposits? [A guide from a banker],jwesme,2020-11-18,700,"This is a great list. However, I have concerns on using point 3. Applied mechanically, it would have shown SBI and HDFC also to be very bad in end-Mar 2020. Share prices are a function of the company, the sector and the whole market. The first two parameters that you mentioned are solid ; you have, rightly, mentioned that the 'ideal' ratios could change with the economic situation. This applies far more to the share price.",gcqa8gj,srinivesh,3,2020-11-18,SBIN.NS,1,0,True,3,Positive,Positive,bullish,1,1
[YEARLY POST] List down the mutual funds in which you are currently investing?,pwn7r9,2021-09-27,595,Equity funds (8) Motilal S&P500 Motilal Nasdaq 100 Edelweiss China UTI Nifty UTI Nifty Next Motilal MidCap150 Motilal Small cap 250 Parag Parikh Flexicap Debt Funds (10) Kotak dynamic Bond Fund Canara Robeco conservative Hybrid ABSL Savings ABSL Floating rate Axis treasury advantage HDFC Short term Axis Banking and PSU HDFC Corp Bond SBI Constant Maturity Edelweiss arbitrage Axis liquid fund I know it's a lot. But I don't sell. Mostly buy and hold other than tax harvesting.,hejp5ou,adane1,5,2021-09-28,SBIN.NS,1,0,True,2,Positive,Neutral,bullish,1,0
[YEARLY POST] List down the mutual funds in which you are currently investing?,pwn7r9,2021-09-27,595,1. Aditya Birla Sunlife liquid fund- one time investment 2. DSP tax saver fund- Sip 3. IDBI equity advantage fund- Sip 4. Parag Parikh Flexi cap fund- sip 5. Sbi blue chip fund- one time investment 6.Uti liquid fund- one time investment,hejtn0f,[deleted],5,2021-09-28,SBIN.NS,1,0,True,2,Positive,Neutral,bullish,1,0
[YEARLY POST] List down the mutual funds in which you are currently investing?,pwn7r9,2021-09-27,595,"1. Axis Bluechip Fund - Low AUM and TER among non-index large cap and top 5 in the category 2. Parag Parikh Flexicap Fund - The AUM is quickly increasing, so I am continuing to invest with gradually decreasing the amount and moving to the PGIM fund below 3. PGIM Flexicap Fund - recently added to portfolio, great performance over time 4. Mirae Nyse Fang ETF FoF - Gives foreign trch industry exposure. I love tech and FAANGM and would love to stay invested. 5. Edelweiss Balanced Advantage Fund - My excuse for not investing a lot in debt fund. Hoping this fund switches it's majority portfolio from equity to debt if the equity situation goes bad 6. SBI magnum medium duration - finally 1 debt fund with average returns",hekadas,Xe0nDunBorn,3,2021-09-28,SBIN.NS,1,0,True,3,Positive,Positive,bullish,1,1
[YEARLY POST] List down the mutual funds in which you are currently investing?,pwn7r9,2021-09-27,595,"Active Investments: SIP -- Rs.12,000 -- SBI Small Cap fund (started with 5k in 2018, increased it to 10k since 2019) SIP -- Rs. 7,000 -- Mirae Tax Saver (for Tax Savings; will try to maxout 1.5L with VPF next year) Lumpsum every month -- Rs. (Total Savings minus SIPs, \~35k) -- PP Flexi Cap fund (started recently) EPF: \~12.5k (Me + Employer) Until 2020 end, I used to have SIPs in SBI Small Cap (10k) and Axis ELSS (10k). But after recent pay rises, PPFC is going to have most of monthly investment &#x200B; Stopped Investing: Axis ELSS -- will be moved to PPFC after lock-in Kotak Flexi Cap -- being moved to PPFC (as part of consolidating MFs to minimum)",hek4myt,345cc,2,2021-09-28,SBIN.NS,2,0,True,3,Negative,Neutral,bearish,-1,0
